name,service_center_id,display_order,is_active_flag,site_id,wing_id,floor_id
PRESIDENTIAL SUITES - 15F - AB,0,1,1,2,0,0
PRESIDENTIAL SUITES - 15F - CD,0,2,1,2,0,0
SUITES - 14F - AB,0,3,1,2,0,0
SUITES - 14F - CD,0,4,1,2,0,0
PREMIUM BEDS - 13F - AB,0,5,1,2,0,0
PREMIUM BEDS - 13F - CD,0,6,1,2,0,0
PREMIUM BEDS - 12F - AB,0,7,1,2,0,0
PREMIUM BEDS - 12F - CD,0,8,1,2,0,0
PREMIUM BEDS - 11F - AB,0,9,1,2,0,0
PREMIUM BEDS - 11F - CD,0,10,1,2,0,0
PREMIUM BEDS - 10F - AB,0,11,1,2,0,0
PREMIUM BEDS - 10F - CD,0,12,1,2,0,0
EXECUTIVE BEDS (TWIN SHARING)- 8F - A,0,13,1,2,0,0
EXECUTIVE BEDS (TRIPLE SHARING)- 8F - B,0,14,1,2,0,0
EXECUTIVE BEDS (TRIPLE SHARING)- 8F - C,0,15,1,2,0,0
EXECUTIVE BEDS (TWIN SHARING)- 8F - D,0,16,1,2,0,0
ICU7A - 7F,0,17,1,2,0,0
MOTHER CARE - 7F,0,18,1,2,0,0
PICU - 7F,0,19,1,2,0,0
CCU7D - 7F,0,20,1,2,0,0
ICU6A - 6F,0,21,1,2,0,0
ICU6B - 6F,0,22,1,2,0,0
ICU6C - 6F,0,23,1,2,0,0
ICU6D - 6F,0,24,1,2,0,0
ICU 3A - 3F,0,25,1,2,0,0
ICU 3D - 3F,0,26,1,2,0,0
TICU - 3F,0,27,1,2,0,0
4F - ISOLATION,0,27,1,5866265,0,0
DAY CARE FIFTH FLOOR,0,28,1,2,0,0
DAY CARE GROUND FLOOR,0,29,1,2,0,0
ICU 3B - 3F,0,30,1,2,0,0
ICU5D - 5F,0,31,1,2,0,0
NEONATAL ICU - 7F,0,32,1,2,0,0
PREMIUM - 1F,0,33,1,2,0,0
PREMIUM - 2F,0,34,1,2,0,0
CCU,0,1,1,14,0,0
CCU7D - 7F,0,2,1,14,0,0
DAYCARE,0,3,1,14,0,0
DELUXE,0,4,1,14,0,0
EXECUTIVE,0,5,1,14,0,0
GENERAL WARD,0,6,1,14,0,0
ICU 3A - 3F,0,7,1,14,0,0
ICU6B - 6F,0,8,1,14,0,0
MASTER SUITE,0,9,1,14,0,0
MICU,0,10,1,14,0,0
SICU,0,11,1,14,0,0
STANDARD,0,12,1,14,0,0
SUITE,0,13,1,14,0,0
TICU - 3F,0,14,1,14,0,0
GENERAL WARD WING A 2ND FLOOR,0,1,1,2567859,0,0
GENERAL WARD WING B 2ND FLOOR,0,2,1,2567859,0,0
ICU 1ST FLOOR,0,3,1,2567859,0,0
ICU 3RD FLOOR,0,4,1,2567859,0,0
ICU ISOLATION 1ST FLOOR,0,5,1,2567859,0,0
MATERNITY WARD 1ST FLOOR,0,6,1,2567859,0,0
NICU 1ST FLOOR,0,7,1,2567859,0,0
PICU,0,8,1,2567859,0,0
SINGLE ROOM 2ND FLOOR,0,9,1,2567859,0,0
TWIN SHARING 2ND FLOOR,0,10,1,2567859,0,0
9F - B - PREMIUM BED,0,1,1,2567859,0,0
BMT - 3F,0,2,1,2567859,0,0
CCU7D - 7F,0,3,1,2567859,0,0
DAY CARE A - 1F,0,4,1,2567859,0,0
DAY CARE B - 1F,0,5,1,2567859,0,0
DELUXE,0,6,1,2567859,0,0
EXECUTIVE - 1F,0,7,1,2567859,0,0
EXECUTIVE - 2F,0,8,1,2567859,0,0
EXECUTIVE BEDS (TRIPLE SHARING)- 8F - C,0,9,1,2567859,0,0
ICU 3A - 3F,0,10,1,2567859,0,0
ICU 3B - 3F,0,11,1,2567859,0,0
ICU6B - 6F,0,12,1,2567859,0,0
ICU6C - 6F,0,13,1,2567859,0,0
ICU6D - 6F,0,14,1,2567859,0,0
NEUTROPENIC  - 2F,0,15,1,2567859,0,0
PREMIUM - 1F,0,16,1,2567859,0,0
PREMIUM - 2F,0,17,1,2567859,0,0
PREMIUM - BF,0,18,1,2567859,0,0
PREMIUM BEDS - 11F - AB,0,19,1,2567859,0,0
PREMIUM BEDS - 11F - CD,0,20,1,2567859,0,0
PREMIUM BEDS - 12F - AB,0,21,1,2567859,0,0
PREMIUM BEDS - 13F - CD,0,22,1,2567859,0,0
STANDARD - 2F,0,23,1,2567859,0,0
STANDARD-1F,0,24,1,2567859,0,0
SUITE - 1F,0,25,1,2567859,0,0
TICU - 3F,0,26,1,2567859,0,0
10F - A - SUITES,0,1,1,5866265,0,0
10F - B - PRESIDENTIAL SUITES,0,3,1,5866265,0,0
10F - B - SUITES,0,2,1,5866265,0,0
4F - A - CHEMO DAYCARE,0,20,1,5866265,0,0
4F - A - ICU 4A,0,21,1,5866265,0,0
4F - A - ICU 4B,0,21,1,5866265,0,0
4F - A - ICU 4C,0,23,1,5866265,0,0
4F - A - MICU 10 BEDS,0,24,1,5866265,0,0
4F - A - MICU 8 BEDS,0,25,1,5866265,0,0
4F - B - CARDIAC DAYCARE,0,26,1,5866265,0,0
5F - A - BMT,0,19,1,5866265,0,0
6F - A - STANDARD BEDS,0,17,1,5866265,0,0
7F - A - PREMIUM BEDS,0,13,1,5866265,0,0
7F - B - EXECUTIVE BEDS,0,15,1,5866265,0,0
7F - B - PREMIUM BEDS,0,14,1,5866265,0,0
7F - B - PREMIUM PLUS BEDS,0,16,1,5866265,0,0
8F - A - PREMIUM BEDS,0,8,1,5866265,0,0
8F - A - PREMIUM ISOLATION BEDS,0,11,1,5866265,0,0
8F - B - EXECUTIVE BEDS,0,10,1,5866265,0,0
8F - B - PREMIUM BEDS,0,9,1,5866265,0,0
8F - B - PREMIUM PLUS BEDS,0,12,1,5866265,0,0
9F - A - PREMIUM BEDS,0,4,1,5866265,0,0
9F - B - EXECUTIVE BEDS,0,6,1,5866265,0,0
9F - B - PREMIUM BED,0,5,1,5866265,0,0
9F - B - PREMIUM PLUS BEDS,0,7,1,5866265,0,0
EMERGENCY WARD,0,28,1,5866265,0,0
ICU6B - 6F,0,18,1,5866265,0,0
PREMIUM - 1F,27226127,1,1,3562087,0,1
SUITE - 1F,27226124,2,1,3562087,0,1
EXECUTIVE - 1F,27226121,3,1,3562087,0,1
STANDARD-1F,35646114,4,1,3562087,0,1
DAY CARE A - 1F,27226118,5,1,3562087,0,1
DAY CARE B - 1F,27226115,6,1,3562087,0,1
DAY CARE C - 1F,27226095,7,1,3562087,0,1
EXECUTIVE - 2F,27226130,8,1,3562087,0,2
NEUTROPENIC  - 2F,27226133,9,1,3562087,0,2
PREMIUM - 2F,27226136,10,1,3562087,0,2
STANDARD - 2F,27226139,11,1,3562087,0,2
BMT - 3F,27226145,12,1,3562087,0,3
ICU 3A - 3F,27226142,13,1,3562087,0,3
ICU 3B - 3F,27226286,14,1,3562087,0,3
ICU 3C - 3F,42087632,15,1,3562087,0,3
ICU 1C,43914264,16,1,3562087,0,3
ICU 1D,42885215,17,1,3562087,0,3
PREMIUM - BF,27226091,18,1,3562087,0,0
DELUXE,34579094,19,1,3562087,0,0
EMERGENCY WARD-GF,99758188,20,1,3562087,0,0
PETSCAN,27243848,21,1,3562087,0,0
